Samples,T1,T2,T5,T10,T15,L Max
1.0,0.0,0.0,0.0,0.0,0.0,3200.0
2.0,0.0,0.0,0.0,0.0,0.0,3200.0
3.0,381.02078,381.02078,381.02078,381.41708,383.20917,3200.0
4.0,0.0,0.0,0.0,0.13272902,1.9631752,3200.0
5.0,0.0,0.0,0.0,0.0,0.0,3200.0
6.0,0.0,0.0,0.0,0.0,7.3343587,3200.0
7.0,0.0,0.0,0.0,0.0,0.0,3200.0
8.0,0.0,0.0,0.0,0.0,0.0,3200.0
9.0,0.0,0.0,0.0,0.0,0.0,3200.0
10.0,0.0,0.0,0.0,0.0,0.0,3200.0
11.0,0.0,0.0,0.0,0.0,0.0,3200.0
12.0,1.2071421,1.2071421,1.2071421,1.2071421,5.9754496,3200.0
13.0,0.0,0.0,0.0,0.0,9.011881,3200.0
14.0,0.0,0.0,0.0,9.696049,9.696049,3200.0
15.0,0.0,0.0,0.0,6.682515,6.682515,3200.0
16.0,0.0,0.0,0.0,0.0,0.0,3200.0
17.0,4.1134253,4.1134253,4.1134253,4.1134253,5.251636,3200.0
18.0,0.0,0.0,0.0,0.0,0.0,3200.0
19.0,0.0,0.0,0.0,0.0,0.74560845,3200.0
20.0,0.0,0.0,0.0,0.0,0.0,3200.0
21.0,0.0,0.0,0.0,0.0,0.0,3200.0
22.0,0.0,0.0,0.0,0.0,0.0,3200.0
23.0,0.0,0.0,0.0,0.0,79.49187,3200.0
24.0,0.99089265,0.99089265,0.99089265,0.99089265,7.0101275,3200.0
25.0,0.0,0.0,0.0,0.0,0.0,3200.0
26.0,0.0,0.0,0.0,0.0,0.0,3200.0
27.0,0.6439457,0.6439457,0.6439457,1.1046965,2.7658257,3200.0
28.0,0.0,0.0,0.0,0.0,0.0,3200.0
29.0,0.0,0.0,0.0,0.0,0.6695906,3200.0
30.0,0.0,0.0,0.0,0.0,0.0,3200.0
31.0,0.0,0.0,0.0,0.0,0.0,3200.0
32.0,0.5350076,0.5350076,0.5350076,10.622073,10.622073,3200.0
33.0,0.0,0.0,0.0,0.0,0.0,3200.0
34.0,0.0,0.0,0.0,0.0,0.0,3200.0
35.0,0.0,0.0,0.0,0.0,1.1620353,3200.0
36.0,0.0,0.0,0.0,0.0,0.0,3200.0
37.0,0.0,0.0,0.0,0.0,0.0,3200.0
38.0,0.0,0.0,0.0,0.10429795,7.572014,3200.0
39.0,0.0,0.0,0.0,0.0,0.0,3200.0
40.0,5.711732,5.711732,5.711732,5.711732,7.061447,3200.0
41.0,0.0,0.0,0.0,0.0,0.0,3200.0
42.0,2.2374303,2.2374303,2.5619648,8.4361,8.4361,3200.0
43.0,0.0,0.0,0.0,0.0,0.0,3200.0
44.0,0.0,0.0,0.0,0.0,0.0,3200.0
45.0,0.0,0.0,0.0,0.0,0.29495278,3200.0
46.0,0.0,0.0,0.0,0.0,0.0,3200.0
47.0,0.0,0.0,0.0,0.0,0.0,3200.0
48.0,0.0,0.0,0.0,0.0,0.0,3200.0
49.0,0.0,0.0,0.0,0.0,0.0,3200.0
50.0,0.77403474,0.77403474,0.77403474,1.0762898,1.0762898,3200.0
51.0,0.0,0.0,0.0,0.0,0.0,3200.0
52.0,0.0,0.0,0.0,0.0,0.0,3200.0
53.0,0.0,0.0,0.0,0.0,0.0,3200.0
54.0,0.0,0.0,0.0,0.0,0.0,3200.0
55.0,0.0,0.0,0.0,0.5314362,1.2896739,3200.0
56.0,0.109725475,0.109725475,0.109725475,0.109725475,4.875998,3200.0
57.0,0.0,0.0,0.0,0.0,0.0,3200.0
58.0,0.0,0.0,0.0,0.0,0.0,3200.0
59.0,4.0374026,4.0374026,4.0374026,8.427407,8.427407,3200.0
60.0,0.0,0.0,0.0,0.0,0.0,3200.0
61.0,0.0,0.0,0.0,0.0,0.0,3200.0
62.0,0.0,0.0,0.0,0.0,0.0,3200.0
63.0,0.0,0.0,0.0,0.0,0.35262647,3200.0
64.0,0.0,0.0,0.0,0.0,1.0358601,3200.0
65.0,0.0,0.0,0.0,0.0,0.0,3200.0
66.0,0.0,0.0,0.0,6.3103566,6.3103566,3200.0
67.0,39.154873,39.154873,39.51867,39.59087,41.844475,3200.0
68.0,0.0,0.0,0.0,0.0,0.0,3200.0
69.0,0.0,0.0,0.0,0.0,0.0,3200.0
70.0,0.0,0.0,0.0,0.0,0.0,3200.0
71.0,0.0,0.0,0.0,0.0,0.0,3200.0
72.0,4.3264866,4.3264866,4.3264866,4.5771046,15.358602,3200.0
73.0,0.0,0.0,0.0,0.0,0.0,3200.0
74.0,0.0,0.0,0.0,0.0,0.0,3200.0
75.0,0.0,0.0,0.0,0.0,0.0,3200.0
76.0,0.0,0.0,0.0,0.0,0.81391084,3200.0
77.0,0.0,0.0,0.0,0.0,0.0,3200.0
78.0,14.077065,14.077065,14.904798,16.447964,16.66624,3200.0
79.0,0.0,0.0,0.0,0.0,0.0,3200.0
80.0,0.0,0.0,0.0,0.0,0.0,3200.0
81.0,0.0,0.0,0.0,0.0,0.0,3200.0
82.0,0.0,0.0,0.0,0.0,10.736972,3200.0
83.0,0.0,0.0,0.0,0.0,0.19648749,3200.0
84.0,0.0,0.0,0.14843464,1.0740324,1.0740324,3200.0
85.0,0.0,0.0,0.0,0.04674256,0.7568376,3200.0
86.0,0.0,0.0,0.0,0.0,0.0,3200.0
87.0,0.0,0.0,0.0,0.0,0.0,3200.0
88.0,8.118591,8.118591,8.118591,9.357859,9.357859,3200.0
89.0,3.4200325,3.4200325,3.4200325,3.4200325,4.3829565,3200.0
90.0,0.0,0.0,0.0,0.0,0.0,3200.0
91.0,0.0,0.0,0.0,0.0,1.0261072,3200.0
92.0,0.0,0.0,0.0,0.0,17.50129,3200.0
93.0,0.0,0.0,0.0,0.0,5.4786444,3200.0
94.0,0.0,0.0,0.0,0.0,0.0,3200.0
95.0,0.0,0.0,0.0,0.0,0.0,3200.0
96.0,64.692955,64.692955,64.692955,64.88874,66.41805,3200.0
97.0,0.0,0.0,0.0,0.0,0.0,3200.0
98.0,5.4759336,5.4759336,5.781287,6.146309,7.4198484,3200.0
99.0,0.0,0.0,0.0,1.1732289,1.2685791,3200.0
100.0,0.0,0.0,0.0,0.0,3.5688086,3200.0
101.0,0.82122934,0.82122934,0.82122934,0.83713627,63.088394,3200.0
102.0,0.0,0.0,0.0,0.0,0.0,3200.0
103.0,0.0,0.0,0.0,0.0,0.0,3200.0
104.0,0.0,0.0,0.0,0.0,0.0,3200.0
105.0,0.0,0.0,0.0,0.0,0.0,3200.0
106.0,0.0,0.0,0.0,0.0,0.0,3200.0
107.0,0.0,0.0,0.0,0.11321829,6.322276,3200.0
108.0,0.0,0.0,0.0,0.0,0.0,3200.0
109.0,0.0,0.0,0.0,0.0,0.0,3200.0
110.0,0.0,0.0,0.0,0.0,0.0,3200.0
111.0,0.0,0.0,0.0,0.0,0.0,3200.0
112.0,0.0,0.0,0.0,0.0,1.803361,3200.0
113.0,0.0,0.0,0.0,0.0,0.0,3200.0
114.0,1.4029288,1.4029288,1.4029288,1.680536,5.0647736,3200.0
115.0,0.0,0.0,0.0,0.0,0.0,3200.0
116.0,0.0,0.0,0.0,0.0,0.0,3200.0
117.0,0.0,0.0,0.0,0.6728427,0.6728427,3200.0
118.0,62.82996,62.82996,62.876507,62.92049,63.20445,3200.0
119.0,0.0,0.0,0.0,0.0,0.0,3200.0
120.0,0.0,0.0,0.0,0.0,4.6876364,3200.0
121.0,0.0,0.0,0.0,0.0,0.0,3200.0
122.0,0.0,0.0,0.0,0.0,0.0,3200.0
123.0,0.0,0.0,0.0,0.0,0.0,3200.0
124.0,0.0,0.0,0.0,0.0,0.8997607,3200.0
125.0,0.0,0.0,0.0,0.0,0.23093933,3200.0
126.0,0.0,0.0,0.0,0.0,0.0,3200.0
127.0,0.0,0.0,0.0,0.0,0.0,3200.0
128.0,88.65619,88.65619,88.65619,91.42706,91.42706,3200.0
129.0,7.415223,7.4579916,7.787442,8.228159,10.188165,3200.0
130.0,0.0,0.0,0.0,0.0,4.970105,3200.0
131.0,0.0,0.0,0.0,0.0,0.0,3200.0
132.0,0.0,0.0,0.0,0.0,0.0,3200.0
133.0,0.0,0.0,0.0,0.0,0.120043665,3200.0
134.0,0.0,0.0,0.0,0.0,0.0,3200.0
135.0,0.0,0.0,0.0,0.0,0.0,3200.0
136.0,0.0,0.0,0.0,0.0,0.0,3200.0
137.0,0.0,0.0,0.039140746,0.039140746,0.52308166,3200.0
138.0,0.0,0.0,0.0,0.0,0.0,3200.0
139.0,0.0,0.0,0.0,0.0,0.0,3200.0
140.0,0.64446557,0.64446557,0.64446557,2.8392673,32.945454,3200.0
141.0,0.0,0.0,0.0,0.0,0.0,3200.0
142.0,0.0,0.0,0.0,0.0,0.0,3200.0
143.0,0.0,0.0,0.0,0.0,0.0,3200.0
144.0,0.0,0.0,0.0,0.0,1.2243876,3200.0
145.0,0.0,0.0,0.0,0.0,0.0,3200.0
146.0,0.0,0.0,0.0,0.0,0.0,3200.0
147.0,0.0,0.0,0.0,0.0,0.0,3200.0
148.0,0.0,0.0,0.0,0.0,0.0,3200.0
149.0,0.0,0.0,0.0,0.0,0.0,3200.0
150.0,0.0,0.0,0.0,0.0,0.0,3200.0
151.0,0.0,0.0,0.0,0.0,0.0,3200.0
152.0,0.0,0.0,0.0,0.0,2.1417394,3200.0
153.0,0.0,0.0,0.0,0.0,22.91173,3200.0
154.0,2.6087809,2.6087809,3.0591512,3.206272,4.502562,3200.0
155.0,0.0,0.0,0.0,0.0,4.348729,3200.0
156.0,0.0,0.0,0.0,0.0,0.0,3200.0
157.0,0.0,0.0,0.0,0.0,0.0,3200.0
158.0,48.301147,48.498207,48.498207,48.708076,50.236855,3200.0
159.0,0.0,0.0,0.0,0.0,0.0,3200.0
160.0,59.22187,59.22187,59.22187,59.247406,60.473877,3200.0
161.0,0.0,0.0,0.0,0.0,0.0,3200.0
162.0,0.0,0.0,0.0,0.29021096,0.29021096,3200.0
163.0,0.0,0.0,0.0,0.0,0.0,3200.0
164.0,0.0,0.0,0.0,0.0,0.0,3200.0
165.0,0.0,0.0,0.0,0.0,0.0,3200.0
166.0,0.0,0.0,0.8373026,3.3162758,3.3162758,3200.0
167.0,0.0,0.0,0.0,0.0,0.0,3200.0
168.0,0.49390948,0.49390948,0.49390948,0.49390948,1.420518,3200.0
169.0,0.0,0.0,0.0,6.167134,6.167134,3200.0
170.0,0.0,0.0,0.0,1.1106786,1.1106786,3200.0
171.0,0.0,0.0,0.0,0.0,0.0,3200.0
172.0,0.0,0.0,0.0,0.0,0.0,3200.0
173.0,0.0,0.0,0.0,0.024183378,2.4954724,3200.0
174.0,0.0,0.0,0.0,0.0,0.0,3200.0
175.0,0.0,0.0,0.0,0.0,0.0,3200.0
176.0,0.0,0.0,0.0,0.0,0.0,3200.0
177.0,0.0,0.0,0.0,0.0,1.2332994,3200.0
178.0,167.57707,167.57707,167.57707,167.57707,168.58736,3200.0
179.0,0.0,0.0,0.0,0.0,0.0,3200.0
180.0,0.0,0.0,0.0,0.0,0.0,3200.0
181.0,0.0,0.0,0.0,0.0,0.0,3200.0
182.0,0.0,0.0,0.0,0.0,0.0,3200.0
183.0,0.0,0.0,0.0,0.0,3.4970098,3200.0
