Samples,T1,T2,T5,T10,T15,L Max
1.0,20.68443,20.704903,20.704903,21.039436,22.328869,204800.0
2.0,0.0,0.0,0.0,0.0,0.44338548,204800.0
3.0,0.0,0.0,0.0,0.19095968,2.7605252,204800.0
4.0,90.33007,90.33007,90.33952,91.36748,92.6673,204800.0
5.0,103.83029,103.83029,104.61938,105.29243,107.041985,204800.0
6.0,0.0,0.0,0.0,0.0,0.6305387,204800.0
7.0,1.4431748,1.4431748,1.4431748,1.6407466,4.8643384,204800.0
8.0,139.54381,139.54381,139.54381,139.54381,139.82985,204800.0
9.0,100.52154,100.61694,100.61694,101.02207,101.02207,204800.0
10.0,85.371506,85.371506,85.371506,85.93025,90.30974,204800.0
11.0,72.80496,72.80496,72.80496,73.90538,74.40284,204800.0
12.0,10.202546,10.202546,10.341516,10.341516,10.521169,204800.0
13.0,76.44226,76.44226,76.44226,77.42337,80.0163,204800.0
14.0,0.0,0.0,0.0,0.017740376,0.017740376,204800.0
15.0,39.191673,39.191673,39.191673,39.191673,40.164608,204800.0
16.0,0.0,0.0,0.0,0.0,0.0,204800.0
17.0,28.60505,28.60505,28.60505,28.790497,28.99186,204800.0
18.0,90.22625,90.22625,90.31403,90.6278,93.23208,204800.0
19.0,108.514465,108.514465,108.514465,108.514465,109.40593,204800.0
20.0,24.851168,24.851168,24.851168,25.83782,27.179926,204800.0
21.0,79.2607,79.2607,79.369354,81.878395,83.25856,204800.0
22.0,179.24442,179.24442,179.53903,179.61903,179.83434,204800.0
23.0,42.14534,42.495975,42.562393,42.562393,42.95343,204800.0
24.0,0.0,0.0,0.0,0.0,0.0,204800.0
25.0,155.65982,155.65982,155.6628,156.05931,156.05931,204800.0
26.0,0.0,0.0,0.0,0.0,0.049182907,204800.0
27.0,34.420876,34.420876,34.94807,34.94807,34.990753,204800.0
28.0,10.0503025,10.0503025,10.137362,10.477282,10.477282,204800.0
29.0,26.70718,26.70718,26.70718,26.70718,29.015072,204800.0
30.0,88.763145,88.763145,88.763145,89.5424,90.2692,204800.0
31.0,93.73097,93.75083,94.44257,96.331,96.331,204800.0
32.0,69.45534,69.45534,69.45534,69.73083,69.73083,204800.0
33.0,0.0,0.0,0.0,0.0,0.0,204800.0
34.0,9.763226,9.763226,9.763226,9.763226,11.617451,204800.0
35.0,274.03107,274.03107,274.03107,274.57016,274.57016,204800.0
36.0,38.654167,38.654167,38.654167,52.58128,52.58128,204800.0
37.0,151.08978,151.08978,151.08978,152.10428,155.44434,204800.0
38.0,192.76978,192.78903,192.85498,193.69028,195.21387,204800.0
39.0,47.020477,47.020477,47.020477,47.020477,51.94355,204800.0
40.0,0.0,0.0,0.0,0.0,0.90624297,204800.0
41.0,124.5999,124.5999,124.5999,124.839226,126.60688,204800.0
42.0,20.264267,20.264267,20.777267,20.85723,20.85723,204800.0
43.0,87.001945,87.06435,87.259514,88.491905,88.491905,204800.0
44.0,132.15112,132.15112,132.15112,142.61104,142.61104,204800.0
45.0,184.37251,184.37251,184.37251,184.37251,187.27632,204800.0
46.0,71.706116,71.72412,72.56526,72.75014,75.837,204800.0
47.0,168.8105,168.8105,168.8105,168.8105,173.29385,204800.0
48.0,172.24634,172.24634,172.47002,172.7187,172.79349,204800.0
49.0,0.0,0.0,0.0,1.6037592,2.7456858,204800.0
50.0,5.5597124,5.5597124,5.5597124,5.5597124,15.955557,204800.0
51.0,68.66893,68.83359,68.84936,69.01272,69.24372,204800.0
52.0,168.88719,168.88719,168.88719,168.89467,169.16383,204800.0
53.0,6.461293,6.461293,6.5156536,6.546767,12.536375,204800.0
54.0,9.086707,9.711477,10.322989,15.897027,15.897027,204800.0
55.0,76.84829,76.84829,77.063995,78.7161,78.7161,204800.0
56.0,108.03681,108.03681,108.03681,108.78224,108.78224,204800.0
57.0,10.663187,10.663187,10.825432,10.828187,11.275073,204800.0
58.0,0.0,0.0,0.0,0.8367443,2.6922252,204800.0
59.0,46.58348,46.58348,46.58348,46.58348,47.072647,204800.0
60.0,13.081031,13.330445,13.487851,14.625791,15.199374,204800.0
61.0,10.082214,10.097346,10.097346,11.858134,11.91574,204800.0
62.0,1.7421963,1.7421963,1.7421963,1.7421963,3.1858056,204800.0
63.0,98.42132,98.42132,98.61932,99.851395,103.59779,204800.0
64.0,96.0102,96.0102,96.38439,96.38439,96.9337,204800.0
65.0,35.677807,35.836796,35.836796,36.450756,36.450756,204800.0
66.0,84.82002,84.99791,84.99791,85.8141,86.19937,204800.0
67.0,32.993805,33.025593,33.609028,34.650658,44.786064,204800.0
68.0,4.391414,4.391414,4.391414,4.730829,13.164342,204800.0
69.0,246.38182,246.38182,246.54124,247.35583,247.51077,204800.0
70.0,51.367973,51.367973,51.367973,52.381584,52.95078,204800.0
71.0,88.53632,88.53632,88.53632,88.53632,92.185455,204800.0
72.0,3.5815845,3.5815845,3.5815845,4.0333066,10.918838,204800.0
73.0,0.8399441,0.8399441,1.1455166,1.3488356,5.7088485,204800.0
74.0,28.257994,28.257994,28.257994,34.97963,34.97963,204800.0
75.0,16.711893,16.711893,17.591732,18.141178,27.326876,204800.0
76.0,57.252995,57.252995,57.252995,57.252995,59.837475,204800.0
77.0,50.04609,50.04609,50.04609,51.315155,52.28692,204800.0
78.0,23.372772,23.372772,23.372772,23.372772,28.182734,204800.0
79.0,39.19075,39.19075,39.222748,39.305664,41.26941,204800.0
80.0,72.5447,72.5447,73.07659,73.67872,76.43745,204800.0
81.0,5.45139,5.45139,6.246432,6.246432,6.246432,204800.0
82.0,0.0,0.0,0.0,0.0,0.0,204800.0
83.0,376.42908,376.42908,376.42908,377.4132,379.82196,204800.0
84.0,5.6515384,5.6515384,5.6515384,7.192098,12.231409,204800.0
85.0,72.05834,72.21485,72.21485,72.78876,72.92782,204800.0
86.0,0.0,0.0,0.0,0.081781715,0.081781715,204800.0
87.0,46.38553,46.4665,46.623238,46.623238,47.03309,204800.0
88.0,63.7668,63.835186,64.07739,64.07739,64.57573,204800.0
89.0,0.0,0.0,0.0,0.0,0.0,204800.0
